"id","edad","nivel","experiencia","female","treatment","politica","raw_repetition_rate","relative_harshness","stage","cutoff_age","years_from_cutoff","bologna_cohort","cutoff_side"
"R_2q4F21Ay7MqiY1x",56,"E. Primaria",35,"1","6","2",0.375,-0.0792057362544242,"Primary teachers",34,22,"Pre-Bologna training","Older side"
"R_2BzEoQiWjUrNbca",55,"E. Secundaria",36,"0","7","3",0,-0.483611656199105,"Secondary teachers",39,16,"Pre-Bologna training","Older side"
"R_8lbhau1FCfIm18Z",54,"E. Secundaria",20,"1","10","2",0.5,0.012587283014384,"Secondary teachers",39,15,"Pre-Bologna training","Older side"
"R_8zBWHneFRRwxTkO",29,"E. Secundaria",5,"1","7","3",0.428571428571429,0.0199620208977385,"Secondary teachers",39,-10,"Bologna-era training","Younger side"
"R_2cc2rj6i9yY7yN7",45,"E. Secundaria",17,"0","2","1",1,0.152313624678663,"Secondary teachers",39,6,"Pre-Bologna training","Older side"
"R_22SjXDdtN0jwUt7",50,"E. Secundaria",25,"0","10","3",0,-0.861111111111111,"Secondary teachers",39,11,"Pre-Bologna training","Older side"
"R_20t5EAoB1VAJfEJ",47,"E. Primaria",20,"1","5","1",0,-0.507398702320959,"Primary teachers",34,13,"Pre-Bologna training","Older side"
"R_2dGg5W9pJGgOSE2",60,"E. Primaria",35,"1","4","1",0.666666666666667,0.144377310889299,"Primary teachers",34,26,"Pre-Bologna training","Older side"
"R_8nS3aQMBqkgmyKl",43,"E. Primaria",6,"1","8","1",0.857142857142857,0.449881167248994,"Primary teachers",34,9,"Pre-Bologna training","Older side"
"R_8alOWLwznmkGset",51,"E. Primaria",25,"0","8","3",0.444444444444444,0.0232351501735528,"Primary teachers",34,17,"Pre-Bologna training","Older side"
"R_8CdD668w3eT6hL7",59,"E. Primaria",36,"1","8","3",1,0.152313624678663,"Primary teachers",34,25,"Pre-Bologna training","Older side"
"R_2FS8GpwhRub6Rob",47,"E. Primaria",20,"1","4","2",0.125,-0.339363663743091,"Primary teachers",34,13,"Pre-Bologna training","Older side"
"R_8dE4kUBUak6DJTq",26,"E. Secundaria",2,"1","1","1",0.666666666666667,0.255171256358031,"Secondary teachers",39,-13,"Bologna-era training","Younger side"
"R_8X5L5qZF3yP3irs",35,"E. Secundaria",5,"0","10","1",1,0.152313624678663,"Secondary teachers",39,-4,"Bologna-era training","Younger side"
"R_2dB3Tm7kGnyZHUr",45,"E. Primaria",25,"0","6","3",0.625,0.171585410908963,"Primary teachers",34,11,"Pre-Bologna training","Older side"
"R_8kyWk3DG0hX3GPn",46,"E. Secundaria",21,"0","2","3",0.444444444444444,0.0322457922127985,"Secondary teachers",39,7,"Pre-Bologna training","Older side"
"R_2teU1MpJl1G1G5G",40,"E. Primaria",20,"1","3","2",0.222222222222222,-0.19940461396907,"Primary teachers",34,6,"Pre-Bologna training","Older side"
"R_2Lxt1hTREohOLAt",47,"E. Secundaria",20,"0","1","3",0.666666666666667,0.246149660180454,"Secondary teachers",39,8,"Pre-Bologna training","Older side"
"R_8guq4eYgGVdgQVr",43,"E. Primaria",17,"1","3","1",0.555555555555556,0.0432545054703114,"Primary teachers",34,9,"Pre-Bologna training","Older side"
"R_8owdzeHzouMXq5b",26,"E. Primaria",3,"1","6","1",0.555555555555556,0.134693483506886,"Primary teachers",34,-8,"Bologna-era training","Younger side"
"R_8hgdV4qbt1KWVOs",33,"E. Primaria",8,"1","2","2",0.666666666666667,0.246149660180454,"Primary teachers",34,-1,"Bologna-era training","Younger side"
"R_8E4A4qK7UmHRYeb",47,"E. Secundaria",18,"1","4","3",0.75,0.296980980529216,"Secondary teachers",39,8,"Pre-Bologna training","Older side"
"R_2FeuwH8AiH7c0Xn",52,"E. Secundaria",26,"1","9","1",0,-0.357040788341808,"Secondary teachers",39,13,"Pre-Bologna training","Older side"
"R_8CJa4bNvCL2TG1z",32,"E. Secundaria",5,"0","7","1",1,0.152313624678663,"Secondary teachers",39,-7,"Bologna-era training","Younger side"
"R_86Qe88JArgkfraN",41,"E. Primaria",10,"1","8","3",0.25,-0.106567372390571,"Primary teachers",34,7,"Pre-Bologna training","Older side"
"R_2AlYXorWcEN3iKJ",41,"E. Primaria",16,"0","4","1",0.444444444444444,0.0322457922127985,"Primary teachers",34,7,"Pre-Bologna training","Older side"
"R_2gHjbyIuxVQvejv",47,"E. Primaria",26,"1","10","3",0.666666666666667,0.155857253891397,"Primary teachers",34,13,"Pre-Bologna training","Older side"
"R_2jVIBUOiGxaMpvH",47,"E. Primaria",12,"1","6","3",0,-0.357040788341808,"Primary teachers",34,13,"Pre-Bologna training","Older side"
"R_8fgiywE8aIz4b5v",49,"E. Primaria",25,"1","6","2",0.333333333333333,-0.16178775403793,"Primary teachers",34,15,"Pre-Bologna training","Older side"
"R_2imoayEmrV9AWCJ",40,"E. Secundaria",20,"1","10","3",0.5,-0.137238826289952,"Secondary teachers",39,1,"Pre-Bologna training","Older side"
"R_8KHozQL0NQUfInB",48,"E. Secundaria",19,"1","9","2",0,-0.848329048843188,"Secondary teachers",39,9,"Pre-Bologna training","Older side"
"R_2Gj4BR7CU2fwErj",43,"E. Secundaria",5,"1","1","2",0.25,-0.0879723027696072,"Secondary teachers",39,4,"Pre-Bologna training","Older side"
"R_8f1vl60m0ZBTAey",50,"E. Primaria",20,"1","10","1",0.285714285714286,-0.123341550530833,"Primary teachers",34,16,"Pre-Bologna training","Older side"
"R_8h6pjMMWTHFEmSs",39,"E. Primaria",18,"1","4","1",0.4,0.0120345016605103,"Primary teachers",34,5,"Pre-Bologna training","Older side"
"R_2sP9ti20QXCPcNr",44,"E. Primaria",21,"0","10","1",0.333333333333333,-0.23906050261986,"Primary teachers",34,10,"Pre-Bologna training","Older side"
"R_8HN4uCFyHlafc61",62,"E. Secundaria",34,NA,"9","3",0.555555555555556,0.0511057090190175,"Secondary teachers",39,23,"Pre-Bologna training","Older side"
"R_8q1wrwXm7HUBfY6",60,"E. Primaria",36,"1","8","2",0.555555555555556,0.0314971073127088,"Primary teachers",34,26,"Pre-Bologna training","Older side"
"R_2jOTM9S5JVf554t",33,"E. Secundaria",8,"0","1","3",0.555555555555556,0.0496917391093836,"Secondary teachers",39,-6,"Bologna-era training","Younger side"
"R_2nao39A7kOACzfj",58,"E. Secundaria",6,"1","4","3",0.625,0.269621863944791,"Secondary teachers",39,19,"Pre-Bologna training","Older side"
"R_2HjJy2tX7xlU78o",54,"E. Secundaria",20,"0","6","3",0.5,-0.322535998118185,"Secondary teachers",39,15,"Pre-Bologna training","Older side"
"R_8izkgmHJlBWv6YF",48,"E. Secundaria",23,"1","3","2",0.444444444444444,-0.0799678608401575,"Secondary teachers",39,9,"Pre-Bologna training","Older side"
"R_2nTd00vMfMCYHdl",45,"E. Secundaria",11,"0","1","2",0.777777777777778,0.255842279042165,"Secondary teachers",39,6,"Pre-Bologna training","Older side"
"R_8xDKCVlGKeiE5KK",45,"E. Primaria",22,"1","9","3",0.111111111111111,-0.311137693166682,"Primary teachers",34,11,"Pre-Bologna training","Older side"
"R_2BfhOTSPnbD6s02",45,"E. Primaria",17,"1","10","3",0.222222222222222,-0.201097875272526,"Primary teachers",34,11,"Pre-Bologna training","Older side"
"R_8L0HD7BL1mh7WM1",45,"E. Primaria",8,"0","5","3",0.333333333333333,-0.0792202712567129,"Primary teachers",34,11,"Pre-Bologna training","Older side"
"R_2HSB9FrF4Xl14tj",53,"E. Primaria",27,"1","8","2",0.444444444444444,-0.0896800953666579,"Primary teachers",34,19,"Pre-Bologna training","Older side"
"R_8XnGmc1k8jwP9ln",31,"E. Secundaria",6,"0","4","3",0.625,0.171586658762654,"Secondary teachers",39,-8,"Bologna-era training","Younger side"
