"stage","edad","cutoff_age","n_teachers","se_raw","se_harshness","raw_repetition_rate","relative_harshness","raw_repetition_rate_pp","relative_harshness_pp","raw_low","raw_high","harshness_low","harshness_high"
"Primary teachers",44,34,54,0.0281238759020711,0.0308490129610873,0.447383891828336,-0.040400314098585,44.7383891828336,-4.0400314098585,39.2261095060277,50.2506688596396,-10.0864379502316,2.00637513051461
"Primary teachers",45,34,96,0.0209047465907409,0.0191112542061153,0.497135416666667,0.00746970343077516,49.7135416666667,0.746970343077516,45.6162113348815,53.8108719984519,-2.99883548132107,4.49277616747611
"Primary teachers",46,34,78,0.0245811902435133,0.0247273680202716,0.445807895807896,-0.0408132518158127,44.5807895807896,-4.08132518158127,39.762876293061,49.3987028685182,-8.92788931355452,0.765238950391969
"Primary teachers",47,34,79,0.0262583807935753,0.0259806318594305,0.434558971267832,-0.0711874570841731,43.4558971267832,-7.11874570841731,38.3092544912424,48.6025397623239,-12.2109495528657,-2.02654186396894
"Primary teachers",48,34,68,0.0235434499113658,0.0196301504629482,0.471346872082166,-0.00886107577808251,47.1346872082166,-0.886107577808251,42.5201710255889,51.7492033908443,-4.73361706854609,2.96140191292959
"Primary teachers",49,34,75,0.0303212506449608,0.0242198075888441,0.450185185185185,-0.0594749730785572,45.0185185185185,-5.94749730785572,39.0755533921062,50.9614836449308,-10.6945795952692,-1.20041502044229
"Primary teachers",50,34,69,0.0293652251263816,0.0276071224789054,0.463446054750403,-0.0312980637796929,46.3446054750403,-3.12980637796929,40.5890213502695,52.100189599811,-8.54080238383476,2.28118962789618
"Primary teachers",51,34,57,0.0272558585837278,0.0251020315202125,0.456328320802005,-0.0111057939311316,45.6328320802005,-1.11057939311316,40.2906837977899,50.9749803626111,-6.03057757107481,3.80941878484848
"Primary teachers",52,34,38,0.0353984256458139,0.0309508487972632,0.52172096908939,0.0228462892222239,52.172096908939,2.28462892222239,45.2340054823595,59.1101883355185,-3.7817374420412,8.35099528648598
"Primary teachers",53,34,20,0.0389286882575911,0.0354633370955031,0.486607142857143,0.00263286427042669,48.6607142857143,0.263286427042669,41.0306913872264,56.2907371842021,-6.68752764367594,7.21410049776128
"Primary teachers",54,34,28,0.0383637903619742,0.0397099916177065,0.460246598639456,-0.0391216765693811,46.0246598639456,-3.91216765693811,38.5053569529986,53.5439627748925,-11.6953260140086,3.87099070013236
"Primary teachers",55,34,34,0.0458162978408942,0.0403474932335413,0.496673669467787,-0.0312552063546326,49.6673669467787,-3.12552063546326,40.6873725699635,58.647361323594,-11.0336293092374,4.78258803831083
"Primary teachers",56,34,18,0.0620140119932991,0.0550287179396668,0.496141975308642,-0.0137877542528771,49.6141975308642,-1.37877542528771,37.4594511801776,61.7689438815508,-12.1644041414624,9.40685329088699
"Primary teachers",57,34,27,0.0493165417161331,0.0414598760007966,0.437169312169312,-0.0319376548044459,43.7169312169312,-3.19376548044459,34.0508890405691,53.3829733932933,-11.3199011766007,4.93237021571154
"Primary teachers",58,34,27,0.0385892095719531,0.037588134019409,0.451058201058201,-0.0148699765812234,45.1058201058201,-1.48699765812234,37.5423350297173,52.6693051819229,-8.85427192592649,5.88027660968182
"Primary teachers",59,34,19,0.0651570682763119,0.0589792144911579,0.407477025898079,-0.092606236280534,40.7477025898079,-9.2606236280534,27.9769172076507,53.518487971965,-20.8205496683203,2.29930241221356
"Primary teachers",60,34,28,0.05154028960126,0.0427891235399,0.455428004535147,-0.0521259354641284,45.5428004535147,-5.21259354641284,35.4409036916678,55.6446972153617,-13.5992617602333,3.17407466740757
