"hypothesis","estimate","std_error","p_value","ci_low","ci_high","mde_80","equiv_margin","p_lower","p_upper","tost_p","equivalent"
"H2|1: Revelation vs Policy",-0.0121424898200112,0.00969162184769231,0.210440440157389,-0.0311528771601927,0.00686789752017027,0.0271693575349289,0.05,4.69083130841396e-05,7.21393626207308e-11,4.69083130841396e-05,TRUE
"H2|2: Revelation vs Policy: Policy 1",-0.007371729704716,0.0169434980602167,0.663568484028692,-0.0406069803183221,0.0258635209088901,0.0474992873476328,0.02,0.228041051244292,0.0531059454397844,0.228041051244292,FALSE
"H2|2: Revelation vs Policy: Policy 1",-0.007371729704716,0.0169434980602167,0.663568484028692,-0.0406069803183221,0.0258635209088901,0.0474992873476328,0.03,0.0908556907420079,0.0137047637355233,0.0908556907420079,FALSE
"H2|2: Revelation vs Policy: Policy 1",-0.007371729704716,0.0169434980602167,0.663568484028692,-0.0406069803183221,0.0258635209088901,0.0474992873476328,0.05,0.00593709696212911,0.00035465354968557,0.00593709696212911,TRUE
"H2|2: Revelation vs Policy: Policy 2",0.0304455890843698,0.0166939967106295,0.0683879914233405,-0.00230025610347998,0.0631914342722196,0.0467998369593161,0.02,0.0012567823210581,0.73424647166516,0.73424647166516,FALSE
"H2|2: Revelation vs Policy: Policy 2",0.0304455890843698,0.0166939967106295,0.0683879914233405,-0.00230025610347998,0.0631914342722196,0.0467998369593161,0.03,0.000146920419418284,0.510647107368321,0.510647107368321,FALSE
"H2|2: Revelation vs Policy: Policy 2",0.0304455890843698,0.0166939967106295,0.0683879914233405,-0.00230025610347998,0.0631914342722196,0.0467998369593161,0.05,7.23056696969683e-07,0.120731685158571,0.120731685158571,FALSE
"H2|2: Revelation vs Policy: Policy 3",0.00605688280401855,0.016194086403333,0.708443227317513,-0.0257083712279627,0.0378221368359998,0.0453983918002391,0.02,0.0538057134723259,0.194619904022314,0.194619904022314,FALSE
"H2|2: Revelation vs Policy: Policy 3",0.00605688280401855,0.016194086403333,0.708443227317513,-0.0257083712279627,0.0378221368359998,0.0453983918002391,0.03,0.0129899156847504,0.0696372484021034,0.0696372484021034,FALSE
"H2|2: Revelation vs Policy: Policy 3",0.00605688280401855,0.016194086403333,0.708443227317513,-0.0257083712279627,0.0378221368359998,0.0453983918002391,0.05,0.000268634296516096,0.00332911070475729,0.00332911070475729,TRUE
"H2|3: favorite assigned, Revelation vs Policy",0.0127086126178879,0.0158294712746617,0.422426909051821,-0.0183881339901908,0.0438053592259665,0.044429991232174,0.02,0.0194008401230612,0.322535760847895,0.322535760847895,FALSE
"H2|3: favorite assigned, Revelation vs Policy",0.0127086126178879,0.0158294712746617,0.422426909051821,-0.0183881339901908,0.0438053592259665,0.044429991232174,0.03,0.00348799438945654,0.137340067090598,0.137340067090598,FALSE
"H2|3: favorite assigned, Revelation vs Policy",0.0127086126178879,0.0158294712746617,0.422426909051821,-0.0183881339901908,0.0438053592259665,0.044429991232174,0.05,3.7264388976641e-05,0.00924189132765759,0.00924189132765759,TRUE
"H2|3: least favorite assigned, Revelation vs Policy",-0.021949612097762,0.0165245498056159,0.184710488932248,-0.054419176892778,0.010519952697254,0.046389387421892,0.02,0.546959225013991,0.00556522563752841,0.546959225013991,FALSE
"H2|3: least favorite assigned, Revelation vs Policy",-0.021949612097762,0.0165245498056159,0.184710488932248,-0.054419176892778,0.010519952697254,0.046389387421892,0.03,0.313066828925829,0.00083413677725887,0.313066828925829,FALSE
"H2|3: least favorite assigned, Revelation vs Policy",-0.021949612097762,0.0165245498056159,0.184710488932248,-0.054419176892778,0.010519952697254,0.046389387421892,0.05,0.0448028436286126,6.68723345362153e-06,0.0448028436286126,TRUE
"H3|1: Awareness vs Revelation",-0.0109841980428181,0.0100050495235812,0.272435659359534,-0.0306092293080805,0.00864083322244427,0.0280478398894961,0.02,0.183761970790375,0.000978194659943183,0.183761970790375,FALSE
"H3|1: Awareness vs Revelation",-0.0109841980428181,0.0100050495235812,0.272435659359534,-0.0306092293080805,0.00864083322244427,0.0280478398894961,0.03,0.028677307306532,2.10021423184184e-05,0.028677307306532,TRUE
"H3|1: Awareness vs Revelation",-0.0109841980428181,0.0100050495235812,0.272435659359534,-0.0306092293080805,0.00864083322244427,0.0280478398894961,0.05,4.82051069340066e-05,5.48006502759918e-10,4.82051069340066e-05,TRUE
"H3|2: Awareness vs Revelation: Policy 1",0.013862711208879,0.0173039840703237,0.423182013335683,-0.0200793779252308,0.0478048003429888,0.0485095638381667,0.02,0.025179151406075,0.361416953037079,0.361416953037079,FALSE
"H3|2: Awareness vs Revelation: Policy 1",0.013862711208879,0.0173039840703237,0.423182013335683,-0.0200793779252308,0.0478048003429888,0.0485095638381667,0.03,0.00562580152196231,0.175520463144171,0.175520463144171,FALSE
